Street,Area,Price,sqm,Rooms,PricePerSqm,lat,lng
,Spandau(Spandau),1700.0,170.0,4,10.0,52.5351876,13.2002964
,Wilmersdorf(Wilmersdorf),2262.0,87.76,3,25.774840474020053,52.4904703,13.3144802
,Wilmersdorf(Wilmersdorf),1400.0,56.62,2,24.72624514305899,52.4904703,13.3144802
Siemensstraße 16,Tiergarten(Tiergarten),211.25,24.31,1,8.689839572192513,52.5327396,13.3338503
Seestraße 23,Wedding(Wedding),452.33,58.32,2,7.756001371742112,52.5469541,13.3465174
Müllerstr.  118,Wedding(Wedding),292.77,33.69,1,8.690115761353518,52.554612,13.3441626
Burgfrauenstraße 119a,Hermsdorf(Reinickendorf),799.0,84.72,3,9.431067044381493,52.6273595,13.3083721
,Wilmersdorf(Wilmersdorf),2970.0,110.03,3,26.992638371353266,52.4904703,13.3144802
Friedrich-Karl-Str. 22,Tempelhof(Tempelhof),819.88,30.59,1,26.80222294867604,52.4564953,13.3797919
Friedrich-Karl-Str. 22,Tempelhof(Tempelhof),759.7,27.93,1,27.200143215180812,52.4564953,13.3797919
Theodor-Heuss-Platz 2,Charlottenburg(Charlottenburg),849.0,62.9,2,13.497615262321146,52.5100071,13.2737822
,Charlottenburg(Charlottenburg),2950.0,171.0,5,17.251461988304094,52.5166023,13.3041054
Machonstraße 19,Mariendorf(Tempelhof),827.0,71.89,2,11.50368618723049,52.4488362,13.3820899
Hubertusallee 76,Schmargendorf(Wilmersdorf),3640.0,260.0,5,14.0,52.482375,13.281411
Emanuelstr. 5,Lichtenberg(Lichtenberg),679.0,61.0,2,11.131147540983607,52.502252,13.4912107
Goslarer Ufer 1,Charlottenburg(Charlottenburg),1790.0,114.0,3,15.701754385964913,52.520732,13.316106
Osloer Straße 21b,Wedding(Wedding),449.0,39.22,2,11.448240693523713,52.55639,13.38256
Klara Franke Straße 8,Tiergarten(Tiergarten),780.0,17.0,1,45.88235294117647,52.5331063,13.3611633
Boyenstraße 31,Mitte(Mitte),700.0,15.0,1,46.666666666666664,52.53650270000001,13.3700999
Klara Franke Straße 8,Tiergarten(Tiergarten),700.0,15.0,1,46.666666666666664,52.5331063,13.3611633
,Lichterfelde(Steglitz),1470.0,105.0,3,14.0,52.4313941,13.3096735
Drontheimer Str. 24,Wedding(Wedding),795.0,64.1,2,12.402496099843995,52.55992999999999,13.37649
Bürgerstraße 55,Britz(Neukölln),550.0,50.0,1,11.0,52.46155390000001,13.4383904
Mühlenstraße 31,Pankow(Pankow),992.0,77.03,3,12.878099441775932,52.4307645,13.2707682
Kellerstr. 4,Steglitz(Steglitz),1210.0,110.0,3,11.0,52.45028910000001,13.3421906
Klosterstraße 31,Spandau(Spandau),690.0,61.0,2,11.311475409836065,52.51533939999999,13.412688
Boyenstraße 33,Mitte(Mitte),1336.02,75.91,2,17.600052693979713,52.5366929,13.3704532
Lichtenrader Damm 168,Lichtenrade(Tempelhof),601.92,74.22,3,8.109943411479385,52.39787,13.40591
Winsstr. 16,PrenzlauerBerg(PrenzlauerBerg),900.0,40.0,1,22.5,52.5334098,13.4255577
Dunckerstr. 12,PrenzlauerBerg(PrenzlauerBerg),900.0,36.39,1,24.7320692497939,52.5426778,13.4212083
Angerburger Allee 55,Charlottenburg(Charlottenburg),374.58,47.76,1,7.842964824120603,52.5104303,13.221781
Angerburger Allee 51,Charlottenburg(Charlottenburg),374.58,47.76,1,7.842964824120603,52.50946,13.22144
Angerburger Allee 37,Charlottenburg(Charlottenburg),566.55,77.45,2,7.315041962556487,52.50951749999999,13.2230941
Soldiner Straße 35,Wedding(Wedding),1077.0,86.18,3,12.497099094917614,52.55992000000001,13.38288
Lübecker Straße 47,Tiergarten(Tiergarten),313.71,36.1,"1,5",8.690027700831024,52.52739889999999,13.3450691
Ahornstraße 11,Steglitz(Steglitz),834.42,85.26,3,9.786769880365938,52.46172,13.32084
Regattastr. 31,Grünau(Köpenick),1424.98,111.89,3,12.735543837697739,52.4252115,13.5748455
,Tiergarten(Tiergarten),1545.0,103.0,3,15.0,52.5141516,13.3591634
Handjerystraße 17,Friedenau(Schöneberg),1823.1,121.54,4,14.999999999999998,52.47461,13.3324
Katharinenstraße 14,Wilmersdorf(Wilmersdorf),1800.0,95.0,3,18.94736842105263,52.5010983,13.2935196
Angerburger Allee 37,Charlottenburg(Charlottenburg),581.88,77.45,2,7.512976113621691,52.50951749999999,13.2230941
Angerburger Allee 41,Charlottenburg(Charlottenburg),499.91,68.0,2,7.3516176470588235,52.5104427,13.2218411
Angerburger Allee 53,Charlottenburg(Charlottenburg),820.0,84.0,"2,5",9.761904761904763,52.5101674,13.2219017
Wollankstr. 37,Wedding(Wedding),455.86,76.04,3,5.995002630194634,52.56395999999999,13.38762
Handjerystraße 28 b,Adlershof(Treptow),771.63,81.74,3,9.440053829214584,52.43653,13.55323
,Schöneberg(Schöneberg),3800.0,285.0,8,13.333333333333334,52.4898502,13.3532376
Melchiorstraße 3,Mitte(Mitte),2149.0,106.98,3,20.087866891007664,52.5064119,13.4256408
Burgsdorfstraße 5,Wedding(Wedding),1217.0,86.91,3,14.002991600506272,52.54237140000001,13.361675
Groß-Ziethener-Straße 88,Lichtenrade(Tempelhof),349.58,43.0,1,8.129767441860464,52.39427999999999,13.42029
Marienfelder Allee 87,Marienfelde(Tempelhof),910.0,94.8,3,9.59915611814346,52.41828,13.3678301
Machonstraße 17,Mariendorf(Tempelhof),1395.0,123.97,5,11.252722432846657,52.44889,13.38224
Genthiner Str. 46,Tiergarten(Tiergarten),1208.0,70.22,2,17.20307604671034,52.502064,13.3583485
Kaiserin-Augusta-Allee 40,Charlottenburg(Charlottenburg),1299.0,108.0,3,12.027777777777779,52.5259888,13.3106968
Otto-Suhr-Allee 145,Charlottenburg(Charlottenburg),1811.0,142.0,3,12.753521126760564,52.5191848,13.300125
Berlichingenstraße 18,Tiergarten(Tiergarten),1290.0,96.63,3,13.34989133809376,52.5311337,13.3251139
Derfflingerstraße 21 a,Tiergarten(Tiergarten),2200.0,121.0,4,18.181818181818183,52.5032376,13.3566709
Lietzenburger Str. 107,Wilmersdorf(Wilmersdorf),2549.0,160.94,4,15.838200571641606,52.4993746,13.3170959
